Run 10: Time (s),Run 10: Position (m),Run 10: Velocity (m/s),Run 10: Acceleration (m/s^2),Run 11: Time (s),Run 11: Position (m),Run 11: Velocity (m/s),Run 11: Acceleration (m/s^2),Run 12: Time (s),Run 12: Position (m),Run 12: Velocity (m/s),Run 12: Acceleration (m/s^2),Run 13: Time (s),Run 13: Position (m),Run 13: Velocity (m/s),Run 13: Acceleration (m/s^2),Run 14: Time (s),Run 14: Position (m),Run 14: Velocity (m/s),Run 14: Acceleration (m/s^2),Run 15: Time (s),Run 15: Position (m),Run 15: Velocity (m/s),Run 15: Acceleration (m/s^2),Run 16: Time (s),Run 16: Position (m),Run 16: Velocity (m/s),Run 16: Acceleration (m/s^2),Run 17: Time (s),Run 17: Position (m),Run 17: Velocity (m/s),Run 17: Acceleration (m/s^2),Run 18: Time (s),Run 18: Position (m),Run 18: Velocity (m/s),Run 18: Acceleration (m/s^2),Run 19: Time (s),Run 19: Position (m),Run 19: Velocity (m/s),Run 19: Acceleration (m/s^2),Run 20: Time (s),Run 20: Position (m),Run 20: Velocity (m/s),Run 20: Acceleration (m/s^2),Run 21: Time (s),Run 21: Position (m),Run 21: Velocity (m/s),Run 21: Acceleration (m/s^2),Run 22: Time (s),Run 22: Position (m),Run 22: Velocity (m/s),Run 22: Acceleration (m/s^2),Run 23: Time (s),Run 23: Position (m),Run 23: Velocity (m/s),Run 23: Acceleration (m/s^2),Run 24: Time (s),Run 24: Position (m),Run 24: Velocity (m/s),Run 24: Acceleration (m/s^2),Run 25: Time (s),Run 25: Position (m),Run 25: Velocity (m/s),Run 25: Acceleration (m/s^2),Run 26: Time (s),Run 26: Position (m),Run 26: Velocity (m/s),Run 26: Acceleration (m/s^2),Run 27: Time (s),Run 27: Position (m),Run 27: Velocity (m/s),Run 27: Acceleration (m/s^2),Run 28: Time (s),Run 28: Position (m),Run 28: Velocity (m/s),Run 28: Acceleration (m/s^2),Run 5: Time (s),Run 5: Position (m),Run 5: Velocity (m/s),Run 5: Acceleration (m/s^2),Run 6: Time (s),Run 6: Position (m),Run 6: Velocity (m/s),Run 6: Acceleration (m/s^2),Run 7: Time (s),Run 7: Position (m),Run 7: Velocity (m/s),Run 7: Acceleration (m/s^2),Run 8: Time (s),Run 8: Position (m),Run 8: Velocity (m/s),Run 8: Acceleration (m/s^2),Run 9: Time (s),Run 9: Position (m),Run 9: Velocity (m/s),Run 9: Acceleration (m/s^2)
0,0.581,0,0.006,0,0.558,0,-0.006,0,0.56,-0.004,0.014,0,0.56,0.003,-0.033,0,0.56,0.003,-0.032,0,0.556,0.006,-0.07,0,0.552,0,-0.012,0,0.558,0,0.006,0,0.564,0.254,1.461,0,0.552,-0.002,0.049,0,0.554,0,0,0,0.56,0.003,-0.097,0,0.541,-0.003,0.025,0,0.561,-0.004,-0.006,0,0.547,0.004,-0.007,0,0.535,0.004,-0.047,0,0.543,0.004,-0.046,0,0.625,0.328,-3.005,0,0.561,-0.001,-0.004,0,0.569,-0.001,-0.019,0,0.58,0.005,0.024,0,0.571,0.003,-0.018,0,0.58,0,-0.019,0,0.579,-0.005,-0.01
0.04,0.581,0,0.009,0.04,0.558,0,-0.009,0.04,0.56,-0.004,0.018,0.04,0.56,0.002,-0.031,0.04,0.56,0.002,-0.027,0.04,0.556,0.003,-0.059,0.04,0.552,-0.001,-0.012,0.04,0.558,0,0.009,0.04,0.572,0.314,1.268,0.04,0.552,0,0.035,0.04,0.554,0,0,0.04,0.56,0,-0.123,0.04,0.541,-0.002,0.016,0.04,0.56,-0.004,-0.009,0.04,0.547,0.004,-0.01,0.04,0.535,0.002,-0.054,0.04,0.543,0.002,-0.05,0.04,0.641,0.223,-3.409,0.04,0.561,-0.002,0.011,0.04,0.569,-0.002,-0.015,0.04,0.58,0.007,0.012,0.04,0.571,0.002,-0.012,0.04,0.58,-0.001,-0.017,0.04,0.579,-0.006,0.004
0.08,0.581,0.001,0.011,0.08,0.558,-0.001,-0.012,0.08,0.559,-0.003,0.02,0.08,0.56,0,-0.026,0.08,0.56,0.001,-0.016,0.08,0.556,0,-0.032,0.08,0.552,-0.002,-0.003,0.08,0.558,0.001,0.013,0.08,0.587,0.377,0.702,0.08,0.552,0.001,0.014,0.08,0.554,0,0,0.08,0.56,-0.004,-0.156,0.08,0.541,-0.001,-0.006,0.08,0.56,-0.005,0.002,0.08,0.547,0.004,-0.016,0.08,0.535,-0.001,-0.049,0.08,0.543,-0.001,-0.041,0.08,0.649,0.066,-3.748,0.08,0.56,-0.001,0.03,0.08,0.568,-0.002,-0.01,0.08,0.581,0.007,-0.008,0.08,0.571,0.002,-0.006,0.08,0.58,-0.003,-0.006,0.08,0.578,-0.006,0.023
0.12,0.581,0.002,0.004,0.12,0.558,-0.002,-0.008,0.12,0.559,-0.002,0.023,0.12,0.56,0,-0.018,0.12,0.56,0,-0.002,0.12,0.556,0,-0.002,0.12,0.552,-0.001,0.013,0.12,0.558,0.002,0.011,0.12,0.604,0.397,-0.478,0.12,0.552,0.001,-0.009,0.12,0.554,0,0,0.12,0.56,-0.017,-0.097,0.12,0.541,-0.002,-0.023,0.12,0.56,-0.005,0.036,0.12,0.548,0.003,-0.018,0.12,0.535,-0.003,-0.018,0.12,0.543,-0.003,-0.005,0.12,0.647,-0.099,-3.585,0.12,0.56,0.002,0.033,0.12,0.568,-0.003,-0.007,0.12,0.581,0.006,-0.026,0.12,0.571,0.002,-0.008,0.12,0.58,-0.002,0.009,0.12,0.578,-0.004,0.035
0.16,0.581,0.001,-0.02,0.16,0.558,-0.002,0.004,0.16,0.559,-0.001,0.033,0.16,0.56,-0.001,-0.004,0.16,0.56,0,0.007,0.16,0.556,0.001,0.004,0.16,0.552,0,0.023,0.16,0.559,0.002,0.008,0.16,0.621,0.349,-1.974,0.16,0.552,0,-0.017,0.16,0.554,0,-0.001,0.16,0.558,-0.018,0.089,0.16,0.54,-0.003,-0.022,0.16,0.56,-0.001,0.048,0.16,0.548,0.002,-0.016,0.16,0.535,-0.002,0.007,0.16,0.543,-0.001,0.017,0.16,0.639,-0.23,-3.079,0.16,0.561,0.003,0.007,0.16,0.568,-0.003,0.002,0.16,0.581,0.004,-0.006,0.16,0.571,0.002,-0.019,0.16,0.58,0,-0.008,0.16,0.578,-0.002,0.029
0.2,0.581,0,-0.042,0.2,0.558,-0.001,0.002,0.2,0.559,0.001,0.028,0.2,0.56,-0.001,0.017,0.2,0.56,0.002,0.009,0.2,0.556,0,0.035,0.2,0.552,0.001,0.024,0.2,0.559,0.001,0.051,0.2,0.634,0.231,-3.238,0.2,0.552,-0.001,0,0.2,0.554,0,-0.002,0.2,0.558,-0.004,0.152,0.2,0.541,-0.008,0.063,0.2,0.56,0,0.035,0.2,0.548,0.002,-0.018,0.2,0.535,-0.002,0.019,0.2,0.543,0,0.016,0.2,0.629,-0.357,-2.16,0.2,0.561,0.002,-0.02,0.2,0.568,-0.002,0.009,0.2,0.581,0.003,0.054,0.2,0.571,0.001,-0.039,0.2,0.58,-0.003,-0.015,0.2,0.578,0,-0.003
0.24,0.581,-0.002,-0.054,0.24,0.558,-0.001,-0.012,0.24,0.559,0.002,0.006,0.24,0.56,0.001,0.015,0.24,0.56,0,0.083,0.24,0.556,0,0.25,0.24,0.552,0,0.088,0.24,0.559,0.003,0.214,0.24,0.641,0.069,-3.889,0.24,0.552,0,0.017,0.24,0.554,0,0.025,0.24,0.558,0,0.077,0.24,0.539,0.002,0.138,0.24,0.56,0.002,0.015,0.24,0.548,0,-0.016,0.24,0.535,0,0.017,0.24,0.543,0,0.009,0.24,0.609,-0.43,-0.567,0.24,0.561,0,-0.024,0.24,0.568,-0.002,-0.001,0.24,0.581,0.008,0.1,0.24,0.571,-0.002,-0.047,0.24,0.579,-0.003,0.01,0.24,0.578,-0.003,-0.015
0.28,0.581,-0.005,-0.052,0.28,0.558,-0.002,-0.014,0.28,0.559,0.002,-0.014,0.28,0.56,0.001,-0.006,0.28,0.56,0.001,0.411,0.28,0.556,0.008,0.849,0.28,0.552,0.003,0.297,0.28,0.559,0.01,0.624,0.28,0.64,-0.105,-3.788,0.28,0.552,0.001,0.015,0.28,0.554,-0.001,0.183,0.28,0.558,0.001,0.007,0.28,0.541,0.011,0.033,0.28,0.56,0.002,-0.009,0.28,0.548,0,-0.008,0.28,0.535,0,0.008,0.28,0.543,0.001,-0.013,0.28,0.591,-0.408,1.191,0.28,0.561,0,-0.018,0.28,0.568,-0.003,0.006,0.28,0.581,0.021,-0.05,0.28,0.571,-0.004,-0.035,0.28,0.579,-0.001,0.021,0.28,0.578,-0.004,0.024
0.32,0.581,-0.008,-0.021,0.32,0.558,-0.003,0.008,0.32,0.56,0,-0.019,0.32,0.56,-0.001,-0.007,0.32,0.56,0.012,1.233,0.32,0.556,0.04,2.027,0.32,0.552,0.015,0.796,0.32,0.559,0.04,1.362,0.32,0.632,-0.258,-2.964,0.32,0.552,0.002,0.013,0.32,0.554,0.004,0.642,0.32,0.558,0.001,-0.044,0.32,0.541,0.004,-0.061,0.32,0.56,0,-0.02,0.32,0.548,0,-0.004,0.32,0.535,0,0.001,0.32,0.543,0,-0.042,0.32,0.575,-0.323,2.66,0.32,0.561,-0.001,-0.006,0.32,0.568,-0.003,0.044,0.32,0.584,0.006,-0.243,0.32,0.571,-0.004,-0.018,0.32,0.579,-0.001,0.027,0.32,0.578,-0.001,0.054
0.36,0.581,-0.008,0.04,0.36,0.557,-0.002,0.033,0.36,0.559,-0.001,0,0.36,0.56,0,0.004,0.36,0.558,0.091,2.218,0.36,0.555,0.175,2.979,0.36,0.552,0.06,1.573,0.36,0.56,0.114,2.171,0.36,0.618,-0.362,-1.541,0.36,0.552,0,0.082,0.36,0.553,0.033,1.529,0.36,0.558,-0.005,0.07,0.36,0.541,0.001,-0.041,0.36,0.56,0,-0.02,0.36,0.548,0,-0.004,0.36,0.535,0,-0.003,0.36,0.543,-0.003,0.012,0.36,0.563,-0.178,3.627,0.36,0.561,0,0.002,0.36,0.568,0.001,0.06,0.36,0.582,-0.012,-0.157,0.36,0.571,-0.005,0,0.36,0.579,0,0.035,0.36,0.578,0.002,0.052
